"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.460936150E-1,2.633621916E-2,9.816227108E-2,9.852140427E0,9.852664635E0
2.482433630E-1,2.154781483E-2,7.900865376E-2,9.837775230E0,9.838116088E0
2.501938850E-1,-2.394201700E-3,6.703764945E-2,9.823410034E0,9.823639065E0
2.522411000E-1,-4.788403399E-3,7.900865376E-2,9.823410034E0,9.823728925E0
2.540583080E-1,-2.394201700E-3,9.576806426E-2,9.830592155E0,9.831058915E0
2.562388390E-1,1.436521020E-2,7.422025502E-2,9.825803757E0,9.826094569E0
2.580456150E-1,1.915361360E-2,7.900865376E-2,9.828198433E0,9.828534665E0
2.602365770E-1,1.197100803E-2,6.703764945E-2,9.835380554E0,9.835616300E0
2.620314230E-1,2.154781483E-2,7.422025502E-2,9.828198433E0,9.828502296E0
2.642037970E-1,1.675941236E-2,8.140286058E-2,9.816226959E0,9.816578784E0
2.660293850E-1,1.436521020E-2,8.140286058E-2,9.811438560E0,9.811786759E0
2.682015360E-1,2.633621916E-2,8.379705995E-2,9.811438560E0,9.811831744E0
2.701304230E-1,7.182605099E-3,8.379705995E-2,9.806650162E0,9.807010805E0
2.721992740E-1,1.675941236E-2,7.422025502E-2,9.811438560E0,9.811733596E0
2.739836920E-1,0.000000000E0,6.464344263E-2,9.813833237E0,9.814046137E0
2.761664940E-1,7.182605099E-3,6.703764945E-2,9.816226959E0,9.816458493E0
2.779717310E-1,1.915361360E-2,6.943184882E-2,9.816226959E0,9.816491194E0
2.801642320E-1,2.873042040E-2,8.379705995E-2,9.840168953E0,9.840567687E0
2.819550770E-1,3.112462163E-2,9.097966552E-2,9.847352028E0,9.847821485E0
2.841619700E-1,2.394201607E-2,1.029506698E-1,9.840168953E0,9.840736613E0
2.859565000E-1,1.436521020E-2,1.029506698E-1,9.813833237E0,9.814383730E0
2.881291900E-1,1.675941236E-2,1.029506698E-1,9.804255486E0,9.804810317E0
2.900361150E-1,1.675941236E-2,1.125274822E-1,9.816226959E0,9.816886219E0
2.921269290E-1,1.436521020E-2,1.029506698E-1,9.813833237E0,9.814383730E0
2.939420000E-1,1.675941236E-2,1.005564705E-1,9.821015358E0,9.821544438E0
2.961246670E-1,2.394201607E-2,1.005564705E-1,9.828198433E0,9.828741998E0
2.979171540E-1,1.915361360E-2,9.816227108E-2,9.832986832E0,9.833495448E0
3.001224050E-1,2.633621916E-2,1.221042871E-1,9.844957352E0,9.845749759E0
3.019055770E-1,3.112462163E-2,1.005564705E-1,9.844957352E0,9.845520078E0
3.040896260E-1,3.830722719E-2,8.379705995E-2,9.837775230E0,9.838206690E0
3.058970000E-1,2.394201607E-2,8.619125932E-2,9.818621635E0,9.819029126E0
3.080873630E-1,1.915361360E-2,1.053448766E-1,9.825803757E0,9.826387122E0
3.099936540E-1,2.154781483E-2,9.816227108E-2,9.818621635E0,9.819135958E0
3.120851010E-1,2.394201607E-2,8.619125932E-2,9.821015358E0,9.821422749E0
3.138700380E-1,2.873042040E-2,9.576806426E-2,9.840168953E0,9.840676907E0
3.160523220E-1,2.154781483E-2,8.619125932E-2,9.842563629E0,9.842964596E0
3.179983460E-1,1.197100803E-2,9.337386489E-2,9.842563629E0,9.843013806E0
3.200010770E-1,9.576806799E-3,1.005564705E-1,9.835380554E0,9.835899245E0
3.218558850E-1,2.633621916E-2,8.619125932E-2,9.823410034E0,9.823823453E0
3.239981920E-1,2.873042040E-2,9.097966552E-2,9.830592155E0,9.831055125E0
3.258854610E-1,2.873042040E-2,9.576806426E-2,9.825803757E0,9.826312453E0
3.280455360E-1,2.633621916E-2,9.576806426E-2,9.832986832E0,9.833488453E0
3.299493840E-1,3.351882473E-2,8.858546615E-2,9.828198433E0,9.828654808E0
3.320432730E-1,4.070143029E-2,9.097966552E-2,9.823410034E0,9.823915645E0
3.338366920E-1,4.309562966E-2,1.005564705E-1,9.818621635E0,9.819231113E0
3.360104940E-1,2.873042040E-2,9.097966552E-2,9.821015358E0,9.821478779E0
3.378339230E-1,3.830722719E-2,8.140286058E-2,9.828198433E0,9.828610192E0
3.400082320E-1,4.070143029E-2,7.182604820E-2,9.823410034E0,9.823756933E0
3.418298460E-1,2.394201607E-2,9.337386489E-2,9.813833237E0,9.814306634E0
3.440059700E-1,1.915361360E-2,9.816227108E-2,9.804255486E0,9.804765592E0
3.457919230E-1,2.154781483E-2,8.619125932E-2,9.823410034E0,9.823811783E0
3.479731910E-1,2.154781483E-2,8.379705995E-2,9.830592155E0,9.830972911E0
3.499075770E-1,2.873042040E-2,7.661445439E-2,9.828198433E0,9.828539039E0
3.519709290E-1,2.394201607E-2,7.661445439E-2,9.825803757E0,9.826131612E0
3.537791150E-1,4.788403213E-2,7.182604820E-2,9.830592155E0,9.830971162E0
3.559686670E-1,3.112462163E-2,7.900865376E-2,9.828198433E0,9.828565284E0
3.577735000E-1,2.633621916E-2,8.619125932E-2,9.823410034E0,9.823823453E0
3.599358880E-1,1.436521020E-2,1.029506698E-1,9.809044838E0,9.809595600E0
3.617551540E-1,7.182605099E-3,9.576806426E-2,9.828198433E0,9.828667639E0
3.639336250E-1,1.915361360E-2,8.858546615E-2,9.823410034E0,9.823828121E0
3.657539610E-1,2.394201607E-2,9.337386489E-2,9.821015358E0,9.821488409E0
3.679313630E-1,1.915361360E-2,8.858546615E-2,9.821015358E0,9.821433546E0
3.698216540E-1,2.394201607E-2,8.379705995E-2,9.835380554E0,9.835766661E0
3.719291020E-1,2.154781483E-2,7.182604820E-2,9.844957352E0,9.845242940E0
3.737348840E-1,4.309562966E-2,7.182604820E-2,9.837775230E0,9.838131820E0
3.758963220E-1,5.027823523E-2,7.661445439E-2,9.844957352E0,9.845383839E0
3.777545770E-1,2.394201607E-2,7.422025502E-2,9.821015358E0,9.821324988E0
3.798940600E-1,1.197100803E-2,7.900865376E-2,9.821015358E0,9.821340455E0
3.816810380E-1,4.788403399E-3,6.703764945E-2,9.835380554E0,9.835610180E0
3.838917980E-1,9.576806799E-3,7.182604820E-2,9.830592155E0,9.830859211E0
3.856921540E-1,3.591302410E-2,8.858546615E-2,9.816226959E0,9.816692358E0
3.878590190E-1,3.351882473E-2,8.858546615E-2,9.832986832E0,9.833442984E0
3.897981540E-1,2.873042040E-2,8.140286058E-2,9.842563629E0,9.842942175E0
3.918567560E-1,3.830722719E-2,7.182604820E-2,9.847352028E0,9.847688479E0
3.936607690E-1,1.915361360E-2,8.140286058E-2,9.842563629E0,9.842918880E0
3.958544950E-1,2.873042040E-2,7.661445439E-2,9.835380554E0,9.835720912E0
3.976573840E-1,9.576806799E-3,7.422025502E-2,9.840168953E0,9.840453515E0
3.998217150E-1,1.675941236E-2,7.422025502E-2,9.847352028E0,9.847645987E0
4.017046920E-1,3.112462163E-2,8.619125932E-2,9.825803757E0,9.826231075E0
4.038194530E-1,3.112462163E-2,1.053448766E-1,9.830592155E0,9.831205847E0
4.057322690E-1,2.873042040E-2,9.337386489E-2,9.832986832E0,9.833472131E0
4.078171920E-1,3.830722719E-2,9.097966552E-2,9.830592155E0,9.831087777E0
4.097214230E-1,3.591302410E-2,9.576806426E-2,9.825803757E0,9.826336079E0
4.118149290E-1,2.873042040E-2,8.858546615E-2,9.825803757E0,9.826245076E0
4.136100380E-1,2.394201607E-2,1.029506698E-1,9.832986832E0,9.833554906E0
4.157821500E-1,3.112462163E-2,1.005564705E-1,9.825803757E0,9.826367580E0
4.176202690E-1,3.830722719E-2,9.576806426E-2,9.835380554E0,9.835921391E0
4.197798880E-1,1.436521020E-2,1.005564705E-1,9.828198433E0,9.828723335E0
